Periode,Data
1,4756
2,4815
3,4654
4,4585
5,4605
6,4574
7,4506
8,4481
9,4477
10,4558
11,4603
12,4535
13,4523
14,4442
15,4393
16,4414
17,4346
18,4374
19,4257
20,4317
21,4392
22,4265
23,4307
24,4479
25,4464
26,4329
27,4362
28,4406
29,4405
30,4380
31,4434
32,4366
33,4300
34,4699
35,4710
36,4557
37,4525
38,4554
39,4559
40,4472
41,4521
42,4428
43,4425
44,4360
45,4234
46,4180
47,4120
48,4186
49,4092
50,4175
51,4191
52,4236
53,4318
54,4140
55,4409
56,4326
57,4424
58,4360
59,4237
60,4263
61,4197
62,4233
63,4093
64,4030
65,4055
66,3912
67,3903
68,3903
69,3872
70,3904
71,3931
72,3945
73,3890
74,3888
75,3860
76,3803
77,3765
78,3769
79,3872
80,3756
81,3838
82,3787
83,3717
84,3550
85,3473
86,3446
87,3264
88,3248
89,3098
90,3119
91,3301
92,3330
93,3505
94,3381
95,3454
96,3489
97,3279
98,3158
99,3330
100,3275
101,3326
102,3248
103,3224
104,3253
105,3253
106,3207
107,3308
108,3201
109,3343
110,3460
111,3402
112,3419
113,3397
114,3326
115,3222
116,3295
117,3392
118,3239
119,3260
120,3131
121,3132
122,3078
123,3048
124,3100
125,3045
126,3075
127,3060
128,3055
129,3102
130,3127
131,3111
132,3136
133,3045
134,3051
135,3002
136,2984
137,2967
138,2925
139,2902
140,2928
141,2963
142,2917
143,2865
144,2883
145,2807
146,2760
147,2759
148,2757
149,2792
150,2727
151,2727
